Medication,Common route(s),Typical adult dose / range,Typical frequency,Peds (Neonate 0–28d) dose; freq,Peds (Infant 1–12mo) dose; freq,Peds (Child 1–12y) dose; freq,Peds (Adolescent 12–18y) dose; freq,Renal adjustment (adult/peds),Hepatic adjustment (adult/peds),IV Fluid options,Standard rates (mL/h 10–200),Weight-based maintenance (adult),Peds maintenance (4-2-1 rule),Weight (kg) – enter to auto-calc,Adult maint mL/h @1.0 mL/kg/h,Adult maint mL/h @1.5 mL/kg/h,Adult maint mL/h @2.0 mL/kg/h,Peds 4-2-1 mL/h (auto),Sepsis bolus mL @30 mL/kg
Fondaparinux (therap.),SC,5–10 mg SC q24h by weight,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O229), """", $O229*1.0)","=IF(ISBLANK($O229), """", $O229*1.5)","=IF(ISBLANK($O229), """", $O229*2.0)","=IF(ISBLANK($O229), """", 4*MIN(10,$O229) + 2*MAX(0,MIN(10,$O229-10)) + 1*MAX(0,$O229-20))","=IF(ISBLANK($O229), """", $O229*30)"
Dabigatran,PO,150 mg q12h (CrCl-dependent),q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O230), """", $O230*1.0)","=IF(ISBLANK($O230), """", $O230*1.5)","=IF(ISBLANK($O230), """", $O230*2.0)","=IF(ISBLANK($O230), """", 4*MIN(10,$O230) + 2*MAX(0,MIN(10,$O230-10)) + 1*MAX(0,$O230-20))","=IF(ISBLANK($O230), """", $O230*30)"
Edoxaban,PO,60 mg q24h (dose-reduce per CrCl/weight),q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O231), """", $O231*1.0)","=IF(ISBLANK($O231), """", $O231*1.5)","=IF(ISBLANK($O231), """", $O231*2.0)","=IF(ISBLANK($O231), """", 4*MIN(10,$O231) + 2*MAX(0,MIN(10,$O231-10)) + 1*MAX(0,$O231-20))","=IF(ISBLANK($O231), """", $O231*30)"
Chlorothiazide,IV,"500–1,000 mg IV q12h",q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O232), """", $O232*1.0)","=IF(ISBLANK($O232), """", $O232*1.5)","=IF(ISBLANK($O232), """", $O232*2.0)","=IF(ISBLANK($O232), """", 4*MIN(10,$O232) + 2*MAX(0,MIN(10,$O232-10)) + 1*MAX(0,$O232-20))","=IF(ISBLANK($O232), """", $O232*30)"
Hydrochlorothiazide,PO,12.5–50 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O233), """", $O233*1.0)","=IF(ISBLANK($O233), """", $O233*1.5)","=IF(ISBLANK($O233), """", $O233*2.0)","=IF(ISBLANK($O233), """", 4*MIN(10,$O233) + 2*MAX(0,MIN(10,$O233-10)) + 1*MAX(0,$O233-20))","=IF(ISBLANK($O233), """", $O233*30)"
Metolazone,PO,2.5–10 mg q24–48h,q24–48h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O234), """", $O234*1.0)","=IF(ISBLANK($O234), """", $O234*1.5)","=IF(ISBLANK($O234), """", $O234*2.0)","=IF(ISBLANK($O234), """", 4*MIN(10,$O234) + 2*MAX(0,MIN(10,$O234-10)) + 1*MAX(0,$O234-20))","=IF(ISBLANK($O234), """", $O234*30)"
Acetazolamide,"IV, PO",250–500 mg q6–12h,q6–12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O235), """", $O235*1.0)","=IF(ISBLANK($O235), """", $O235*1.5)","=IF(ISBLANK($O235), """", $O235*2.0)","=IF(ISBLANK($O235), """", 4*MIN(10,$O235) + 2*MAX(0,MIN(10,$O235-10)) + 1*MAX(0,$O235-20))","=IF(ISBLANK($O235), """", $O235*30)"
Desmopressin (DDAVP),"IV, IN, PO",0.3 mcg/kg IV; IN 10–40 mcg/day divided,Varies,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O236), """", $O236*1.0)","=IF(ISBLANK($O236), """", $O236*1.5)","=IF(ISBLANK($O236), """", $O236*2.0)","=IF(ISBLANK($O236), """", 4*MIN(10,$O236) + 2*MAX(0,MIN(10,$O236-10)) + 1*MAX(0,$O236-20))","=IF(ISBLANK($O236), """", $O236*30)"
Tolvaptan,PO,15–60 mg q24h (monitor Na rise),q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O237), """", $O237*1.0)","=IF(ISBLANK($O237), """", $O237*1.5)","=IF(ISBLANK($O237), """", $O237*2.0)","=IF(ISBLANK($O237), """", 4*MIN(10,$O237) + 2*MAX(0,MIN(10,$O237-10)) + 1*MAX(0,$O237-20))","=IF(ISBLANK($O237), """", $O237*30)"
Conivaptan,IV,20 mg IV load then 20 mg/day,Daily,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O238), """", $O238*1.0)","=IF(ISBLANK($O238), """", $O238*1.5)","=IF(ISBLANK($O238), """", $O238*2.0)","=IF(ISBLANK($O238), """", 4*MIN(10,$O238) + 2*MAX(0,MIN(10,$O238-10)) + 1*MAX(0,$O238-20))","=IF(ISBLANK($O238), """", $O238*30)"
Calcium chloride,IV,1 g IV (central) over 10–20 min,PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O239), """", $O239*1.0)","=IF(ISBLANK($O239), """", $O239*1.5)","=IF(ISBLANK($O239), """", $O239*2.0)","=IF(ISBLANK($O239), """", 4*MIN(10,$O239) + 2*MAX(0,MIN(10,$O239-10)) + 1*MAX(0,$O239-20))","=IF(ISBLANK($O239), """", $O239*30)"
Sodium chloride tablets,PO,1 g PO TID,TID,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O240), """", $O240*1.0)","=IF(ISBLANK($O240), """", $O240*1.5)","=IF(ISBLANK($O240), """", $O240*2.0)","=IF(ISBLANK($O240), """", 4*MIN(10,$O240) + 2*MAX(0,MIN(10,$O240-10)) + 1*MAX(0,$O240-20))","=IF(ISBLANK($O240), """", $O240*30)"
Urea (oral packets),PO,15–30 g q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O241), """", $O241*1.0)","=IF(ISBLANK($O241), """", $O241*1.5)","=IF(ISBLANK($O241), """", $O241*2.0)","=IF(ISBLANK($O241), """", 4*MIN(10,$O241) + 2*MAX(0,MIN(10,$O241-10)) + 1*MAX(0,$O241-20))","=IF(ISBLANK($O241), """", $O241*30)"
Insulin NPH,SC,0.1–0.3 units/kg q12h (titrate),q12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O242), """", $O242*1.0)","=IF(ISBLANK($O242), """", $O242*1.5)","=IF(ISBLANK($O242), """", $O242*2.0)","=IF(ISBLANK($O242), """", 4*MIN(10,$O242) + 2*MAX(0,MIN(10,$O242-10)) + 1*MAX(0,$O242-20))","=IF(ISBLANK($O242), """", $O242*30)"
Insulin regular (SC),SC,AC/HS dosing per scale,AC/HS,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O243), """", $O243*1.0)","=IF(ISBLANK($O243), """", $O243*1.5)","=IF(ISBLANK($O243), """", $O243*2.0)","=IF(ISBLANK($O243), """", 4*MIN(10,$O243) + 2*MAX(0,MIN(10,$O243-10)) + 1*MAX(0,$O243-20))","=IF(ISBLANK($O243), """", $O243*30)"
Insulin detemir,SC,0.1–0.4 units/kg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O244), """", $O244*1.0)","=IF(ISBLANK($O244), """", $O244*1.5)","=IF(ISBLANK($O244), """", $O244*2.0)","=IF(ISBLANK($O244), """", 4*MIN(10,$O244) + 2*MAX(0,MIN(10,$O244-10)) + 1*MAX(0,$O244-20))","=IF(ISBLANK($O244), """", $O244*30)"
Insulin degludec,SC,10–40 units q24h (titrate),q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O245), """", $O245*1.0)","=IF(ISBLANK($O245), """", $O245*1.5)","=IF(ISBLANK($O245), """", $O245*2.0)","=IF(ISBLANK($O245), """", 4*MIN(10,$O245) + 2*MAX(0,MIN(10,$O245-10)) + 1*MAX(0,$O245-20))","=IF(ISBLANK($O245), """", $O245*30)"
Metformin,PO,"500–1,000 mg BID (hold AKI/contrast)",BID,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O246), """", $O246*1.0)","=IF(ISBLANK($O246), """", $O246*1.5)","=IF(ISBLANK($O246), """", $O246*2.0)","=IF(ISBLANK($O246), """", 4*MIN(10,$O246) + 2*MAX(0,MIN(10,$O246-10)) + 1*MAX(0,$O246-20))","=IF(ISBLANK($O246), """", $O246*30)"
Glipizide,PO,2.5–10 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O247), """", $O247*1.0)","=IF(ISBLANK($O247), """", $O247*1.5)","=IF(ISBLANK($O247), """", $O247*2.0)","=IF(ISBLANK($O247), """", 4*MIN(10,$O247) + 2*MAX(0,MIN(10,$O247-10)) + 1*MAX(0,$O247-20))","=IF(ISBLANK($O247), """", $O247*30)"
Methimazole,PO,5–30 mg/day divided,q8–24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O248), """", $O248*1.0)","=IF(ISBLANK($O248), """", $O248*1.5)","=IF(ISBLANK($O248), """", $O248*2.0)","=IF(ISBLANK($O248), """", 4*MIN(10,$O248) + 2*MAX(0,MIN(10,$O248-10)) + 1*MAX(0,$O248-20))","=IF(ISBLANK($O248), """", $O248*30)"
Propylthiouracil (PTU),PO,50–150 mg q8h,q8h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O249), """", $O249*1.0)","=IF(ISBLANK($O249), """", $O249*1.5)","=IF(ISBLANK($O249), """", $O249*2.0)","=IF(ISBLANK($O249), """", 4*MIN(10,$O249) + 2*MAX(0,MIN(10,$O249-10)) + 1*MAX(0,$O249-20))","=IF(ISBLANK($O249), """", $O249*30)"
Fludrocortisone,PO,0.05–0.2 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O250), """", $O250*1.0)","=IF(ISBLANK($O250), """", $O250*1.5)","=IF(ISBLANK($O250), """", $O250*2.0)","=IF(ISBLANK($O250), """", 4*MIN(10,$O250) + 2*MAX(0,MIN(10,$O250-10)) + 1*MAX(0,$O250-20))","=IF(ISBLANK($O250), """", $O250*30)"
Esomeprazole,"IV, PO",40 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O251), """", $O251*1.0)","=IF(ISBLANK($O251), """", $O251*1.5)","=IF(ISBLANK($O251), """", $O251*2.0)","=IF(ISBLANK($O251), """", 4*MIN(10,$O251) + 2*MAX(0,MIN(10,$O251-10)) + 1*MAX(0,$O251-20))","=IF(ISBLANK($O251), """", $O251*30)"
Lansoprazole,PO,30 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O252), """", $O252*1.0)","=IF(ISBLANK($O252), """", $O252*1.5)","=IF(ISBLANK($O252), """", $O252*2.0)","=IF(ISBLANK($O252), """", 4*MIN(10,$O252) + 2*MAX(0,MIN(10,$O252-10)) + 1*MAX(0,$O252-20))","=IF(ISBLANK($O252), """", $O252*30)"
Omeprazole,PO,20–40 mg q24h,q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O253), """", $O253*1.0)","=IF(ISBLANK($O253), """", $O253*1.5)","=IF(ISBLANK($O253), """", $O253*2.0)","=IF(ISBLANK($O253), """", 4*MIN(10,$O253) + 2*MAX(0,MIN(10,$O253-10)) + 1*MAX(0,$O253-20))","=IF(ISBLANK($O253), """", $O253*30)"
Sucralfate,PO,1 g QID before meals/HS,QID,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O254), """", $O254*1.0)","=IF(ISBLANK($O254), """", $O254*1.5)","=IF(ISBLANK($O254), """", $O254*2.0)","=IF(ISBLANK($O254), """", 4*MIN(10,$O254) + 2*MAX(0,MIN(10,$O254-10)) + 1*MAX(0,$O254-20))","=IF(ISBLANK($O254), """", $O254*30)"
Misoprostol,PO,200 mcg QID,QID,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O255), """", $O255*1.0)","=IF(ISBLANK($O255), """", $O255*1.5)","=IF(ISBLANK($O255), """", $O255*2.0)","=IF(ISBLANK($O255), """", 4*MIN(10,$O255) + 2*MAX(0,MIN(10,$O255-10)) + 1*MAX(0,$O255-20))","=IF(ISBLANK($O255), """", $O255*30)"
Promethazine,"IV, PO, PR",12.5–25 mg q6h PRN,q6h PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O256), """", $O256*1.0)","=IF(ISBLANK($O256), """", $O256*1.5)","=IF(ISBLANK($O256), """", $O256*2.0)","=IF(ISBLANK($O256), """", 4*MIN(10,$O256) + 2*MAX(0,MIN(10,$O256-10)) + 1*MAX(0,$O256-20))","=IF(ISBLANK($O256), """", $O256*30)"
Meclizine,PO,25–50 mg q24h PRN,q24h PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O257), """", $O257*1.0)","=IF(ISBLANK($O257), """", $O257*1.5)","=IF(ISBLANK($O257), """", $O257*2.0)","=IF(ISBLANK($O257), """", 4*MIN(10,$O257) + 2*MAX(0,MIN(10,$O257-10)) + 1*MAX(0,$O257-20))","=IF(ISBLANK($O257), """", $O257*30)"
Scopolamine patch,TD,1 patch q72h,q72h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O258), """", $O258*1.0)","=IF(ISBLANK($O258), """", $O258*1.5)","=IF(ISBLANK($O258), """", $O258*2.0)","=IF(ISBLANK($O258), """", 4*MIN(10,$O258) + 2*MAX(0,MIN(10,$O258-10)) + 1*MAX(0,$O258-20))","=IF(ISBLANK($O258), """", $O258*30)"
Aprepitant,PO,"125 mg day 1, then 80 mg q24h ×2",q24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O259), """", $O259*1.0)","=IF(ISBLANK($O259), """", $O259*1.5)","=IF(ISBLANK($O259), """", $O259*2.0)","=IF(ISBLANK($O259), """", 4*MIN(10,$O259) + 2*MAX(0,MIN(10,$O259-10)) + 1*MAX(0,$O259-20))","=IF(ISBLANK($O259), """", $O259*30)"
Palonosetron,IV,0.25 mg IV once,Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O260), """", $O260*1.0)","=IF(ISBLANK($O260), """", $O260*1.5)","=IF(ISBLANK($O260), """", $O260*2.0)","=IF(ISBLANK($O260), """", 4*MIN(10,$O260) + 2*MAX(0,MIN(10,$O260-10)) + 1*MAX(0,$O260-20))","=IF(ISBLANK($O260), """", $O260*30)"
Loperamide,PO,4 mg then 2 mg after each stool (max 16 mg/day),PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O261), """", $O261*1.0)","=IF(ISBLANK($O261), """", $O261*1.5)","=IF(ISBLANK($O261), """", $O261*2.0)","=IF(ISBLANK($O261), """", 4*MIN(10,$O261) + 2*MAX(0,MIN(10,$O261-10)) + 1*MAX(0,$O261-20))","=IF(ISBLANK($O261), """", $O261*30)"
Diphenoxylate-atropine,PO,2 tabs QID then reduce,QID,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O262), """", $O262*1.0)","=IF(ISBLANK($O262), """", $O262*1.5)","=IF(ISBLANK($O262), """", $O262*2.0)","=IF(ISBLANK($O262), """", 4*MIN(10,$O262) + 2*MAX(0,MIN(10,$O262-10)) + 1*MAX(0,$O262-20))","=IF(ISBLANK($O262), """", $O262*30)"
Pancrelipase,PO,Per lipase units with meals,TID with meals,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O263), """", $O263*1.0)","=IF(ISBLANK($O263), """", $O263*1.5)","=IF(ISBLANK($O263), """", $O263*2.0)","=IF(ISBLANK($O263), """", 4*MIN(10,$O263) + 2*MAX(0,MIN(10,$O263-10)) + 1*MAX(0,$O263-20))","=IF(ISBLANK($O263), """", $O263*30)"
Ursodiol,PO,300 mg BID,BID,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O264), """", $O264*1.0)","=IF(ISBLANK($O264), """", $O264*1.5)","=IF(ISBLANK($O264), """", $O264*2.0)","=IF(ISBLANK($O264), """", 4*MIN(10,$O264) + 2*MAX(0,MIN(10,$O264-10)) + 1*MAX(0,$O264-20))","=IF(ISBLANK($O264), """", $O264*30)"
Tramadol,PO,25–50 mg q6h PRN (max 400 mg/day),q6h PRN,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O265), """", $O265*1.0)","=IF(ISBLANK($O265), """", $O265*1.5)","=IF(ISBLANK($O265), """", $O265*2.0)","=IF(ISBLANK($O265), """", 4*MIN(10,$O265) + 2*MAX(0,MIN(10,$O265-10)) + 1*MAX(0,$O265-20))","=IF(ISBLANK($O265), """", $O265*30)"
Methadone,PO,2.5–10 mg q8–12h (opioid-tolerant protocols),q8–12h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O266), """", $O266*1.0)","=IF(ISBLANK($O266), """", $O266*1.5)","=IF(ISBLANK($O266), """", $O266*2.0)","=IF(ISBLANK($O266), """", 4*MIN(10,$O266) + 2*MAX(0,MIN(10,$O266-10)) + 1*MAX(0,$O266-20))","=IF(ISBLANK($O266), """", $O266*30)"
Buprenorphine/naloxone (SL),SL,2–8 mg SL q12–24h (induction protocols),q12–24h,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O267), """", $O267*1.0)","=IF(ISBLANK($O267), """", $O267*1.5)","=IF(ISBLANK($O267), """", $O267*2.0)","=IF(ISBLANK($O267), """", 4*MIN(10,$O267) + 2*MAX(0,MIN(10,$O267-10)) + 1*MAX(0,$O267-20))","=IF(ISBLANK($O267), """", $O267*30)"
Ketamine (analgesic infusion),IV,0.1–0.3 mg/kg/h,Continuous,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O268), """", $O268*1.0)","=IF(ISBLANK($O268), """", $O268*1.5)","=IF(ISBLANK($O268), """", $O268*2.0)","=IF(ISBLANK($O268), """", 4*MIN(10,$O268) + 2*MAX(0,MIN(10,$O268-10)) + 1*MAX(0,$O268-20))","=IF(ISBLANK($O268), """", $O268*30)"
Lidocaine 5% patch,TD,Apply up to 12 h/day (max 3 patches),Daily,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O269), """", $O269*1.0)","=IF(ISBLANK($O269), """", $O269*1.5)","=IF(ISBLANK($O269), """", $O269*2.0)","=IF(ISBLANK($O269), """", 4*MIN(10,$O269) + 2*MAX(0,MIN(10,$O269-10)) + 1*MAX(0,$O269-20))","=IF(ISBLANK($O269), """", $O269*30)"
Topical diclofenac 1% gel,Topical,2–4 g QID over affected area,QID,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O270), """", $O270*1.0)","=IF(ISBLANK($O270), """", $O270*1.5)","=IF(ISBLANK($O270), """", $O270*2.0)","=IF(ISBLANK($O270), """", 4*MIN(10,$O270) + 2*MAX(0,MIN(10,$O270-10)) + 1*MAX(0,$O270-20))","=IF(ISBLANK($O270), """", $O270*30)"
Midazolam,IV,1–5 mg IV PRN; infusion per sedation,PRN/infusion,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O271), """", $O271*1.0)","=IF(ISBLANK($O271), """", $O271*1.5)","=IF(ISBLANK($O271), """", $O271*2.0)","=IF(ISBLANK($O271), """", 4*MIN(10,$O271) + 2*MAX(0,MIN(10,$O271-10)) + 1*MAX(0,$O271-20))","=IF(ISBLANK($O271), """", $O271*30)"
Etomidate,IV,0.2–0.3 mg/kg IV (induction),Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O272), """", $O272*1.0)","=IF(ISBLANK($O272), """", $O272*1.5)","=IF(ISBLANK($O272), """", $O272*2.0)","=IF(ISBLANK($O272), """", 4*MIN(10,$O272) + 2*MAX(0,MIN(10,$O272-10)) + 1*MAX(0,$O272-20))","=IF(ISBLANK($O272), """", $O272*30)"
Rocuronium,IV,0.6–1.2 mg/kg IV (RSI),Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O273), """", $O273*1.0)","=IF(ISBLANK($O273), """", $O273*1.5)","=IF(ISBLANK($O273), """", $O273*2.0)","=IF(ISBLANK($O273), """", 4*MIN(10,$O273) + 2*MAX(0,MIN(10,$O273-10)) + 1*MAX(0,$O273-20))","=IF(ISBLANK($O273), """", $O273*30)"
Succinylcholine,IV,1–1.5 mg/kg IV (RSI),Once,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O274), """", $O274*1.0)","=IF(ISBLANK($O274), """", $O274*1.5)","=IF(ISBLANK($O274), """", $O274*2.0)","=IF(ISBLANK($O274), """", 4*MIN(10,$O274) + 2*MAX(0,MIN(10,$O274-10)) + 1*MAX(0,$O274-20))","=IF(ISBLANK($O274), """", $O274*30)"
Cisatracurium,IV,0.1–0.2 mg/kg bolus; 1–3 mcg/kg/min infusion,Infusion,—,—,—,—,Check CrCl/eGFR; adjust dose/interval where applicable; post-HD dosing if dialyzable,Use Child-Pugh guidance; reduce/avoid in severe impairment; monitor LFTs,,,,,,"=IF(ISBLANK($O275), """", $O275*1.0)","=IF(ISBLANK($O275), """", $O275*1.5)","=IF(ISBLANK($O275), """", $O275*2.0)","=IF(ISBLANK($O275), """", 4*MIN(10,$O275) + 2*MAX(0,MIN(10,$O275-10)) + 1*MAX(0,$O275-20))","=IF(ISBLANK($O275), """", $O275*30)"
